dev,name_code,month,year,time,cont,ton
AUDUBON,audubon,May,2018,2018-05-01,1.0,9.3
AUDUBON,audubon,May,2019,2019-05-01,3.0,27.03
AUDUBON,audubon,May,2020,2020-05-01,4.0,35.699999999999996
AUDUBON,audubon,May,2021,2021-05-01,3.0,29.73
AUDUBON,audubon,November,2018,2018-11-01,2.0,19.31
AUDUBON,audubon,November,2019,2019-11-01,4.0,37.37
AUDUBON,audubon,November,2020,2020-11-01,3.0,29.450000000000003
AUDUBON,audubon,November,2021,2021-11-01,0.0,0.0
AUDUBON,audubon,October,2018,2018-10-01,4.0,36.01
AUDUBON,audubon,October,2019,2019-10-01,4.0,35.01
AUDUBON,audubon,October,2020,2020-10-01,3.0,29.6
AUDUBON,audubon,October,2021,2021-10-01,0.0,0.0
AUDUBON,audubon,September,2018,2018-09-01,1.0,9.35
AUDUBON,audubon,September,2019,2019-09-01,2.0,21.68
AUDUBON,audubon,September,2020,2020-09-01,4.0,41.77
AUDUBON,audubon,September,2021,2021-09-01,5.0,36.72
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,April,2018,2018-04-01,3.0,23.52
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,April,2019,2019-04-01,4.0,26.99
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,April,2020,2020-04-01,4.0,22.81
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,April,2021,2021-04-01,3.0,21.79
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,August,2018,2018-08-01,5.0,36.58
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,August,2019,2019-08-01,3.0,22.15
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,August,2020,2020-08-01,3.0,17.84
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,August,2021,2021-08-01,3.0,23.23
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,December,2018,2018-12-01,4.0,28.759999999999998
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,December,2019,2019-12-01,4.0,25.759999999999998
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,December,2020,2020-12-01,3.0,23.220000000000002
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,December,2021,2021-12-01,0.0,0.0
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,February,2018,2018-02-01,3.0,22.61
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,February,2019,2019-02-01,3.0,19.159999999999997
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,February,2020,2020-02-01,3.0,22.23
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,February,2021,2021-02-01,3.0,19.2
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,January,2018,2018-01-01,3.0,17.51
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,January,2019,2019-01-01,3.0,20.11
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,January,2020,2020-01-01,3.0,22.41
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,January,2021,2021-01-01,4.0,23.86
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,July,2018,2018-07-01,4.0,29.4
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,July,2019,2019-07-01,6.0,36.61
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,July,2020,2020-07-01,5.0,31.75
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,July,2021,2021-07-01,4.0,26.93
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,June,2018,2018-06-01,3.0,24.5
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,June,2019,2019-06-01,3.0,21.93
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,June,2020,2020-06-01,5.0,28.48
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,June,2021,2021-06-01,7.0,53.67
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,March,2018,2018-03-01,3.0,21.73
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,March,2019,2019-03-01,4.0,28.99
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,March,2020,2020-03-01,2.0,11.26
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,March,2021,2021-03-01,5.0,33.22
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,May,2018,2018-05-01,4.0,28.53
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,May,2019,2019-05-01,5.0,31.650000000000002
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,May,2020,2020-05-01,4.0,21.55
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,May,2021,2021-05-01,4.0,24.369999999999997
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,November,2018,2018-11-01,2.0,11.99
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,November,2019,2019-11-01,3.0,19.0
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,November,2020,2020-11-01,3.0,21.28
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,November,2021,2021-11-01,0.0,0.0
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,October,2018,2018-10-01,3.0,20.32
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,October,2019,2019-10-01,3.0,22.68
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,October,2020,2020-10-01,4.0,19.12
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,October,2021,2021-10-01,0.0,0.0
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,September,2018,2018-09-01,3.0,19.79
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,September,2019,2019-09-01,5.0,31.65
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,September,2020,2020-09-01,6.0,35.29
BAILEY AVENUE-WEST 193RD STREET,baileyavenuewest193rdstreet,September,2021,2021-09-01,4.0,25.26
BAISLEY PARK,baisleypark,April,2018,2018-04-01,5.0,35.379999999999995
BAISLEY PARK,baisleypark,April,2019,2019-04-01,3.0,22.009999999999998
BAISLEY PARK,baisleypark,April,2020,2020-04-01,8.0,51.269999999999996
BAISLEY PARK,baisleypark,April,2021,2021-04-01,5.0,38.11
BAISLEY PARK,baisleypark,August,2018,2018-08-01,3.0,23.6
BAISLEY PARK,baisleypark,August,2019,2019-08-01,2.0,15.73
BAISLEY PARK,baisleypark,August,2020,2020-08-01,5.0,43.01
BAISLEY PARK,baisleypark,August,2021,2021-08-01,4.0,36.3
BAISLEY PARK,baisleypark,December,2018,2018-12-01,6.0,40.18
BAISLEY PARK,baisleypark,December,2019,2019-12-01,5.0,40.36
BAISLEY PARK,baisleypark,December,2020,2020-12-01,9.0,64.07000000000001
BAISLEY PARK,baisleypark,December,2021,2021-12-01,0.0,0.0
BAISLEY PARK,baisleypark,February,2018,2018-02-01,3.0,16.98
BAISLEY PARK,baisleypark,February,2019,2019-02-01,2.0,13.46
BAISLEY PARK,baisleypark,February,2020,2020-02-01,5.0,39.93
BAISLEY PARK,baisleypark,February,2021,2021-02-01,7.0,49.22
BAISLEY PARK,baisleypark,January,2018,2018-01-01,3.0,18.310000000000002
BAISLEY PARK,baisleypark,January,2019,2019-01-01,4.0,27.02
BAISLEY PARK,baisleypark,January,2020,2020-01-01,6.0,45.46000000000001
BAISLEY PARK,baisleypark,January,2021,2021-01-01,6.0,39.709999999999994
BAISLEY PARK,baisleypark,July,2018,2018-07-01,2.0,15.25
BAISLEY PARK,baisleypark,July,2019,2019-07-01,4.0,27.459999999999997
BAISLEY PARK,baisleypark,July,2020,2020-07-01,9.0,75.83
BAISLEY PARK,baisleypark,July,2021,2021-07-01,6.0,47.89
BAISLEY PARK,baisleypark,June,2018,2018-06-01,2.0,13.94
BAISLEY PARK,baisleypark,June,2019,2019-06-01,3.0,26.49
BAISLEY PARK,baisleypark,June,2020,2020-06-01,7.0,58.959999999999994
BAISLEY PARK,baisleypark,June,2021,2021-06-01,7.0,54.870000000000005
BAISLEY PARK,baisleypark,March,2018,2018-03-01,3.0,18.92
BAISLEY PARK,baisleypark,March,2019,2019-03-01,5.0,35.28
BAISLEY PARK,baisleypark,March,2020,2020-03-01,5.0,38.69
BAISLEY PARK,baisleypark,March,2021,2021-03-01,7.0,50.67
BAISLEY PARK,baisleypark,May,2018,2018-05-01,4.0,24.15
BAISLEY PARK,baisleypark,May,2019,2019-05-01,1.0,6.4
BAISLEY PARK,baisleypark,May,2020,2020-05-01,8.0,63.199999999999996
BAISLEY PARK,baisleypark,May,2021,2021-05-01,5.0,34.69
BAISLEY PARK,baisleypark,November,2018,2018-11-01,6.0,40.15
BAISLEY PARK,baisleypark,November,2019,2019-11-01,6.0,46.97
BAISLEY PARK,baisleypark,November,2020,2020-11-01,5.0,39.410000000000004
